124	2	0	0	0	0	0	0	3	2	0	0	2	4	1	0	0
4	288	13	0	0	0	0	0	1	0	0	0	0	9	0	0	0
0	5	1093	90	3	0	0	0	0	0	2	0	0	0	0	6	0
0	0	23	824	60	0	0	0	0	0	1	0	0	1	0	0	0
0	0	4	100	1189	63	0	0	0	0	1	0	0	2	0	1	0
0	0	0	0	131	1169	0	0	0	0	0	0	0	0	0	1	1
0	0	0	1	0	0	405	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	93	0	0	0	0	0	2	0	3	0
8	0	0	0	0	0	0	0	65	19	0	0	0	0	0	0	0
4	1	0	0	0	0	0	0	64	166	21	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	4	1606	62	12	0	0	4	1
0	0	0	0	0	0	0	0	0	0	91	475	0	0	0	10	0
6	0	0	0	0	0	0	0	0	1	2	0	1002	11	0	18	0
5	8	1	1	1	0	0	0	0	0	1	0	6	475	1	3	0
0	0	0	0	0	0	0	0	1	0	1	0	0	1	159	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	3	7	4	5	5	2	2	0	26	5	37	9	2	1147	0
